id,job,status,slot,name,icon,level,description,effect_type,effect_value,grants_action
mythril_axe,WAR,existing_current,Weapon,Mythril Axe,ATK,20,Balanced tank weapon. Raises physical damage and threat.,stat,attack+2,
aegis_helm,WAR,existing_current,Head,Aegis Helm,DEF,18,Heavy helm. Adds defense against physical hits.,stat,defense+2,
valor_mail,WAR,existing_current,Body,Valor Mail,ARM,20,Knight armor. Improves survival during tankbusters.,stat,hp+30,
oath_stone,WAR,existing_current,Relic,Oath Stone,REL,12,Relic charm. Strengthens Guard and Cover effects.,upgrade,guard+,
bulwark_blade,WAR,existing_pool,Weapon,Bulwark Blade,DEF,21,Defensive blade. Improves Cover and Guard turns.,upgrade,cover+,
raider_axe,WAR,existing_pool,Weapon,Raider Axe,ATK,19,Aggressive axe. Raises Strike damage.,upgrade,strike+,
iron_sallet,WAR,existing_pool,Head,Iron Sallet,DEF,17,Simple helm. Adds steady defense.,stat,defense+1,
ogre_plate,WAR,existing_pool,Body,Ogre Plate,ARM,22,Heavy plate. Strong against burst damage.,stat,hp+50,
lion_crest,WAR,existing_pool,Relic,Lion Crest,REL,13,Relic crest. Improves Provoke turns.,upgrade,provoke+,
guardian_plate,WAR,proposed,Body,Guardian Plate,ARM,23,Cover damage reduction plus defense.,upgrade,cover++,
berserker_axe,WAR,proposed,Weapon,Berserker Axe,ATK,22,Upgrade Strike into heavy cleave style damage.,upgrade,strike++,
hero_belt,WAR,proposed,Relic,Hero Belt,REL,18,Reduce damage when HP is below half.,passive,low_hp_guard,
helm_of_command,WAR,proposed,Head,Helm of Command,DEF,20,Provoke also grants small guard.,upgrade,provoke_guard,
oak_cane,WHM,existing_current,Weapon,Oak Cane,HEAL,18,Healing staff. Improves Cure and Cura output.,stat,magic+2,
pilgrim_hood,WHM,existing_current,Head,Pilgrim Hood,MND,16,Cloth hood. Raises magic focus and cleanse reliability.,stat,magic+1,
mender_robe,WHM,existing_current,Body,Mender Robe,ROB,18,Robes tuned for party recovery under pressure.,stat,hp+20,
lily_charm,WHM,existing_current,Relic,Lily Charm,REL,14,Relic charm. Helps recover MP between turns.,passive,mp_recover,
sage_wand,WHM,existing_pool,Weapon,Sage Wand,MAG,19,Wand. Trades healing for Smite damage.,stat,magic+3,
lily_veil,WHM,existing_pool,Head,Lily Veil,MND,17,Veil. Helps healing timing.,upgrade,heal_timing,
chapel_robe,WHM,existing_pool,Body,Chapel Robe,ROB,16,Robe. Adds MP comfort.,stat,mp+10,
mercy_bell,WHM,existing_pool,Relic,Mercy Bell,HEAL,15,Bell. Boosts emergency Cure.,upgrade,cure+,
seraph_cane,WHM,proposed,Weapon,Seraph Cane,HEAL,21,Grants Regen to action pool.,granted_action,regen,regen
warding_veil,WHM,proposed,Head,Warding Veil,MND,19,Protect lasts stronger on marked ally.,upgrade,protect+,
liturgy_robe,WHM,proposed,Body,Liturgy Robe,ROB,20,Cura heals more when party stacks.,upgrade,cura_stack,
pearl_rosary,WHM,proposed,Relic,Pearl Rosary,REL,18,Esuna grants small shield after cleanse.,upgrade,esuna_shield,
ash_rod,BLM,existing_current,Weapon,Ash Rod,MAG,17,Caster rod. Raises fire and ice magic damage.,stat,magic+2,
void_hat,BLM,existing_current,Head,Void Hat,MND,15,Wide brim hat. Improves spell focus.,upgrade,focus+,
ember_coat,BLM,existing_current,Body,Ember Coat,ROB,17,Mage coat. Favors stronger delayed casts.,upgrade,slow_magic+,
mana_gem,BLM,existing_current,Relic,Mana Gem,MP,13,Relic gem. Supports high MP spell loadouts.,stat,mp+10,
cinder_rod,BLM,existing_pool,Weapon,Cinder Rod,MAG,19,Rod. Favors delayed burst spells.,upgrade,slow_magic+,
star_cap,BLM,existing_pool,Head,Star Cap,MP,16,Cap. Helps MP pacing.,stat,mp+8,
frost_coat,BLM,existing_pool,Body,Frost Coat,ROB,18,Coat. Improves Ice utility.,upgrade,ice+,
flare_shard,BLM,existing_pool,Relic,Flare Shard,FIRE,14,Shard. Pushes Firaga damage.,upgrade,firaga+,
ancient_grimoire,BLM,proposed,Relic,Ancient Grimoire,BOOK,22,Grants Meteor.,granted_action,meteor,meteor
casting_ring,BLM,proposed,Relic,Casting Ring,RING,18,Slow magic damage boost.,upgrade,slow_magic++,
flame_rod,BLM,proposed,Weapon,Flame Rod,FIRE,21,Fire damage boost.,upgrade,fire+,
ice_charm,BLM,proposed,Head,Ice Charm,ICE,18,Blizzard gains stronger weaken.,upgrade,ice_weaken,
iron_lance,DRG,existing_current,Weapon,Iron Lance,JUMP,19,Polearm. Raises Jump and thrust damage.,stat,attack+2,
wyvern_helm,DRG,existing_current,Head,Wyvern Helm,DEF,17,Maiming helm. Keeps melee DPS sturdy.,stat,defense+1,
