job,category,status,id,name,slot,timing,cost_type,cost,power,effect_type,target_rule,source,purpose,notes
WAR,action,existing_current,strike,Strike,,Normal,TP,0,38,physical,enemy,player_actions.csv,Basic position-aware tank attack,Default battle action
WAR,action,existing_current,provoke,Provoke,,Fast,TP,10,0,tank,enemy,player_actions.csv,Redirect provokeable single target attacks,Default battle action
WAR,action,existing_current,cover,Cover,,Fast,TP,10,0,tank,targeted_ally,player_actions.csv,Protect enemy-targeted ally,Default battle action
WAR,action,existing_current,guard_wall,Wall,,Fast,TP,18,0,tank,all_allies,player_actions.csv,Reduce party damage this turn,Default battle action
WAR,equipment,existing_current,mythril_axe,Mythril Axe,Weapon,,,,,,self,index.html,Balanced tank weapon,Current lobby gear
WAR,equipment,existing_current,aegis_helm,Aegis Helm,Head,,,,,,self,index.html,Physical defense helm,Current lobby gear
WAR,equipment,existing_current,valor_mail,Valor Mail,Body,,,,,,self,index.html,Tankbuster survival armor,Current lobby gear
WAR,equipment,existing_current,oath_stone,Oath Stone,Relic,,,,,,self,index.html,Strengthen Guard and Cover,Current lobby gear
WAR,equipment,existing_pool,bulwark_blade,Bulwark Blade,Weapon,,,,,,self,index.html,Improve Cover and Guard turns,Swap pool
WAR,equipment,existing_pool,raider_axe,Raider Axe,Weapon,,,,,,self,index.html,Raise Strike damage,Swap pool
WAR,equipment,existing_pool,iron_sallet,Iron Sallet,Head,,,,,,self,index.html,Steady defense,Swap pool
WAR,equipment,existing_pool,ogre_plate,Ogre Plate,Body,,,,,,self,index.html,Strong burst damage armor,Swap pool
WAR,equipment,existing_pool,lion_crest,Lion Crest,Relic,,,,,,self,index.html,Improve Provoke turns,Swap pool
WAR,passive,existing_pool,iron_will,Iron Will,,,,,,,passive,self,index.html,Start battle with extra threat,Passive swap pool
WAR,passive,existing_pool,last_stand,Last Stand,,,,,,,passive,self,index.html,Survive lethal damage once per wave,Passive swap pool
WAR,passive,existing_pool,shield_oath,Oath,,,,,,,passive,self,index.html,Guard Wall reduces more damage,Passive swap pool
WAR,action,proposed,vengeance,Vengeance,,Normal,TP,20,44,counter,self,new,Counter next direct hit then strike enemy,Adds tank reaction choice
WAR,action,proposed,shield_bash,Shield Bash,,Fast,TP,14,16,interrupt,casting_enemy,new,Interrupt cast with small damage,Backup interrupt option
WAR,action,proposed,steel_cyclone,Steel Cyclone,,Slow,TP,28,74,physical,enemy,new,Heavy AoE style tank burst after enemy action,Risky damage action
WAR,action,proposed,rampart,Rampart,,Fast,TP,16,0,tank,self,new,Reduce self damage before enemy action,Personal tankbuster answer
WAR,equipment,proposed,guardian_plate,Guardian Plate,Body,,,,,,self,data/gdd/GDD_jobs_loadout_progression.md,Cover damage reduction plus defense,GDD example adapted
